,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,1,105815,1,,Tennys Sandgren,R,,USA,24.45,111581,,,Michael Mmoh,R,,USA,17.98,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,261,201,455,88
1,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,2,127028,,Q,Tom Fawcett,U,,USA,20.21,200222,,Q,Nicholas S Hu,R,,USA,21.70,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1633,2,1896,1
2,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,3,110751,,,Sebastian Fanselow,U,,GER,24.01,110750,,,Eric Johnson,R,,USA,22.88,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,528,65,522,67
3,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,4,105960,,,Evan King,L,185,USA,23.78,111456,8,,Mackenzie Mcdonald,R,,USA,20.72,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,414,104,371,118
4,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,5,105336,3,,Nicolas Meister,U,,USA,26.64,106335,,,Alexios Halebian,L,,USA,21.57,7-6(4) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,302,165,617,50
5,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,6,106420,,,Gianluigi Quinzi,L,,ITA,19.92,108767,,WC,Gonzales Austin,L,,HAI,23.16,7-6(3) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,383,113,761,30
6,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,7,111514,,Q,Max De Vroome,R,,NED,21.59,111583,,Q,Martin Redlicki,U,,USA,20.36,6-2 3-6 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,1896,1,1637,2
7,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,8,111578,6,,Stefan Kozlov,R,,USA,17.92,105071,,,Jean Yves Aubone,R,180,USA,27.98,6-0 7-5,3,R32,,,,,,,,,,,,,,,,,,,,351,130,603,53
8,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,9,126152,,WC,Ryan Shane,U,,USA,21.72,111586,7,,Deiton Baughman,U,,USA,19.70,7-5 7-5,3,R32,,,,,,,,,,,,,,,,,,,,730,33,357,128
9,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,10,105870,,Q,Yannick Hanfmann,U,,GER,24.14,138590,,WC,Robbie C Bellamy,U,,USA,20.94,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,660,43,2085,1
10,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,11,126243,,Q,Jake Devine,U,,USA,18.62,111515,,Q,Thai Son Kwiatkowski,U,,USA,20.89,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,1666,2
11,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,12,105229,4,,Philip Bester,R,188,CAN,27.24,200587,,WC,Brandon Holt,U,,USA,17.75,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,303,164,,
12,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,13,110636,,,Clay Thompson,R,,USA,23.67,105281,5,,Eric Quigley,U,,USA,26.93,6-4 6-7(5) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,468,84,314,158
13,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,14,110749,,,Joe Salisbury,U,,GBR,23.71,105566,,Q,Shahin Khaledan,R,,IRI,25.58,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,646,46,1003,12
14,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,15,105100,,,Edward Corrie,U,,GBR,27.87,124014,,,Ernesto Escobedo,R,,USA,19.50,7-6(3) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,453,89,393,111
15,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,16,105447,,PR,Dennis Nevolo,R,,USA,26.03,104905,2,,Nicolas Barrientos,R,175,COL,28.70,6-4 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,621,49,294,170
16,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,17,105815,1,,Tennys Sandgren,R,,USA,24.45,127028,,Q,Tom Fawcett,U,,USA,20.21,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,,261,201,1633,2
17,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,18,110751,,,Sebastian Fanselow,U,,GER,24.01,105960,,,Evan King,L,185,USA,23.78,4-6 6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,,528,65,414,104
18,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,19,106420,,,Gianluigi Quinzi,L,,ITA,19.92,105336,3,,Nicolas Meister,U,,USA,26.64,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,383,113,302,165
19,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,20,111578,6,,Stefan Kozlov,R,,USA,17.92,111514,,Q,Max De Vroome,R,,NED,21.59,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,351,130,1896,1
20,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,21,126152,,WC,Ryan Shane,U,,USA,21.72,105870,,Q,Yannick Hanfmann,U,,GER,24.14,4-6 7-6(2) 6-4,3,R16,,,,,,,,,,,,,,,,,,,,730,33,660,43
21,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,22,105229,4,,Philip Bester,R,188,CAN,27.24,126243,,Q,Jake Devine,U,,USA,18.62,7-6(3) 6-3,3,R16,,,,,,,,,,,,,,,,,,,,303,164,,
22,2016-M-FU-USA-01A-2016,USA F1,Hard,,S,20160104,23,110636,,,Clay Thompson,R,,USA,23.67,110749,,,Joe Salisbury,U,,GBR,23.71,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,468,84,646,46
